#{"t_start": 1753906013.745462, "env_id": "None"}
r,l,t
311.180218,50,164.245619
509.07959,50,164.341623
461.959003,50,164.433616
791.15052,50,169.617205
409.708562,50,169.827203
263.090459,50,170.196207
291.97789,50,170.414203
293.824947,50,170.542209
377.641891,50,170.673205
281.254485,50,170.774202
533.028467,50,172.734737
463.595881,50,173.711734
538.432192,50,173.936737
259.09457,50,174.082324
526.629698,50,174.213321
303.725441,50,174.315321
563.511197,50,174.409323
490.126904,50,174.529319
630.183373,50,174.630318
402.238151,50,174.727328
411.712232,50,174.821328
308.456392,50,174.91432
550.222085,50,175.009323
281.794703,50,175.10632
776.933733,50,175.20032
590.781914,50,175.294328
274.01457,50,175.387328
314.905232,50,175.48932
441.917019,50,175.590319
327.465578,50,175.684321
460.494871,50,175.783319
492.322732,50,175.878319
424.801029,50,175.982323
139.909277,50,176.079318
492.073549,50,176.177316
203.234011,50,176.276322
575.200596,50,176.369321
347.641307,50,176.452318
390.16325,50,176.544317
486.866134,50,176.635322
455.645671,50,176.73032
522.553304,50,176.819318
335.271065,50,176.905326
541.383647,50,177.001327
586.35661,50,181.050413
449.25863,50,181.153417
850.772104,50,181.320415
348.314941,50,181.500419
579.877864,50,181.617418
394.978894,50,181.721419
195.141955,50,181.831418
546.839299,50,181.951416
486.683565,50,182.053412
328.023712,50,182.159418
312.005303,50,182.276417
371.026039,50,182.396414
187.385349,50,182.529418
513.228085,50,182.676417
444.996157,50,182.790418
503.318954,50,182.890419
564.3739,50,182.989415
459.397637,50,183.081415
497.963145,50,183.175418
943.689822,50,183.284412
591.957326,50,183.399417
724.375677,50,183.499414
634.119272,50,183.588416
411.574667,50,183.696414
196.752883,50,183.801415
547.572277,50,183.912422
367.751406,50,184.091422
332.415644,50,184.223417
459.648449,50,184.324416
421.899631,50,184.445414
584.316015,50,184.587417
717.692174,50,184.731419
493.085145,50,184.837418
524.151744,50,184.950424
348.75901,50,185.063417
289.27726,50,185.194413
327.048839,50,185.318418
390.002868,50,185.439416
621.350761,50,185.557412
610.201904,50,185.668418
246.0376,50,185.797419
421.828887,50,189.421418
541.145126,50,189.518418
756.279029,50,189.614415
898.023886,50,189.719419
364.604526,50,189.814422
280.988164,50,189.912418
554.256238,50,190.261412
398.984257,50,190.362423
418.607024,50,190.464422
521.946165,50,190.571414
738.772988,50,190.666414
315.922218,50,190.768416
249.634715,50,190.864423
640.153379,50,190.958414
345.328001,50,191.057422
448.924216,50,191.147416
403.581388,50,191.230422
621.372244,50,191.317413
656.773043,50,191.40942
393.417602,50,191.497423
608.325336,50,191.584422
393.320537,50,191.67242
415.830693,50,191.762415
406.239991,50,191.854421
590.122821,50,191.939414
455.235489,50,192.026415
473.826821,50,192.113418
577.875998,50,192.198416
356.739073,50,192.290419
509.828283,50,192.370411
533.738229,50,192.465414
322.584868,50,192.550412
449.306449,50,192.638417
362.375708,50,192.740413
403.97737,50,192.831412
602.508284,50,192.918417
365.258891,50,192.999413
327.38764,50,193.08542
545.787423,50,193.171418
594.810759,50,193.260421
370.642821,50,193.346413
215.492033,50,196.900006
426.059006,50,197.037997
425.502489,50,197.136996
527.455125,50,197.230999
670.106342,50,197.327
542.726555,50,197.419999
423.09702,50,197.518996
392.123367,50,197.611998
397.652761,50,197.719996
560.15764,50,197.819998
457.88544,50,197.913996
348.197931,50,198.011003
397.864619,50,198.102995
367.613995,50,198.204999
312.374825,50,198.3
502.583176,50,198.405998
490.104605,50,198.523009
425.213864,50,198.667001
494.476704,50,198.793997
522.80318,50,198.886007
641.794791,50,198.984005
596.402238,50,199.085998
617.319346,50,199.175995
447.780545,50,199.273998
635.683411,50,199.369006
277.130172,50,199.463999
588.507515,50,199.566
474.538728,50,199.657001
226.692235,50,199.756995
386.064115,50,199.854998
409.765056,50,199.969997
660.107441,50,200.066996
490.548538,50,200.160996
681.648834,50,200.258996
404.44732,50,200.360994
581.6388,50,200.459998
486.580488,50,200.552998
368.326669,50,200.642998
252.372756,50,200.74
325.743864,50,200.839
354.498414,50,200.941994
