#{"t_start": 1753906836.8329315, "env_id": "None"}
r,l,t
673.195109,50,81.385448
182.70768,50,81.551445
600.363595,50,81.736443
833.895287,50,81.888441
444.310438,50,82.043442
813.327621,50,82.223442
359.270223,50,82.380446
717.872507,50,82.543444
437.773758,50,82.709445
934.869754,50,82.876445
470.691908,50,83.038448
650.132931,50,83.221443
733.436541,50,83.401442
629.824929,50,83.581443
290.24925,50,83.756446
633.505642,50,83.91444
345.997953,50,84.076442
446.138846,50,84.245449
425.028895,50,84.412443
444.684987,50,84.577447
490.389915,50,84.750449
328.285149,50,84.918444
705.283543,50,85.07045
498.356556,50,85.254442
596.027132,50,85.419448
667.718074,50,85.58544
548.266479,50,85.769443
389.107344,50,85.939445
296.513194,50,86.103445
223.137317,50,86.271445
440.083806,50,86.431441
338.234503,50,86.603442
612.95293,50,86.782443
671.504655,50,86.935446
482.522286,50,87.09345
629.308104,50,87.268442
806.23014,50,87.416446
341.420041,50,87.573452
639.611926,50,87.743442
351.001326,50,87.89945
617.286739,50,88.056451
776.508261,50,88.247444
618.11335,50,88.50044
745.931451,50,88.748443
540.839367,50,88.92044
633.470898,50,89.114448
401.517532,50,89.318443
899.267995,50,89.492445
514.83666,50,89.674444
423.719961,50,89.835443
813.665607,50,90.004447
368.464813,50,90.178441
393.803641,50,90.347443
614.773449,50,90.499444
639.574089,50,90.673449
478.524528,50,90.832443
430.844487,50,90.988451
630.606603,50,91.156448
446.7598,50,91.322443
584.112453,50,91.481446
340.442134,50,91.647444
418.980625,50,91.813444
485.312282,50,91.969442
707.845067,50,92.14044
318.402052,50,92.305257
636.621404,50,92.465258
425.976404,50,92.632267
306.397011,50,92.812256
534.988806,50,92.969258
804.613491,50,93.147272
423.641449,50,93.313253
712.596981,50,93.467257
521.682564,50,93.656255
540.468657,50,93.829254
932.690431,50,93.983289
529.349482,50,94.14826
729.4443,50,94.311263
669.094648,50,94.465256
478.855316,50,94.630269
305.290234,50,94.800255
657.961611,50,94.963254
398.646837,50,95.133268
437.721231,50,95.329257
295.90401,50,96.174258
230.376131,50,96.403258
533.502297,50,96.59026
665.341318,50,96.772254
401.694094,50,96.935274
470.337376,50,97.104261
312.516744,50,97.293257
520.821351,50,97.454256
316.75937,50,97.798259
576.035568,50,97.997258
467.484755,50,98.179257
783.980674,50,98.343258
456.409718,50,98.506293
351.270657,50,98.721252
551.999839,50,98.885257
459.574386,50,99.040255
627.188429,50,99.207255
717.855549,50,99.441259
553.145038,50,99.607257
448.493621,50,99.782259
563.187588,50,100.00426
534.822138,50,100.25526
474.197251,50,100.485257
549.670226,50,100.669256
902.501031,50,100.851259
536.793136,50,101.011255
523.578409,50,101.199256
603.582109,50,101.378258
394.589469,50,101.56229
729.154519,50,101.757304
324.474551,50,101.919262
533.990964,50,102.075257
620.736481,50,102.285254
475.119126,50,102.432258
549.956433,50,102.61426
448.994636,50,102.778256
524.067167,50,102.971254
322.350637,50,103.158268
821.093429,50,103.329254
556.750683,50,103.488262
692.738598,50,103.661283
726.884159,50,103.844255
745.058496,50,104.015261
267.460279,50,104.209255
660.686153,50,104.391259
360.078924,50,104.556254
1047.719962,50,104.742256
628.524747,50,104.893256
439.16688,50,105.057257
348.594933,50,105.229257
599.853949,50,105.379264
538.034841,50,105.534256
391.342562,50,105.718253
550.998005,50,105.866256
634.285239,50,106.025257
951.529377,50,106.193257
458.346588,50,106.351258
522.457399,50,106.497258
408.190072,50,106.657261
606.934609,50,106.819263
393.945396,50,106.978257
482.747767,50,107.141258
540.871868,50,107.30549
371.231376,50,107.459486
551.031011,50,107.619485
651.396553,50,107.774488
567.927611,50,107.92649
825.66253,50,108.087487
495.577764,50,108.269522
410.038079,50,108.423523
537.117423,50,108.59632
481.68517,50,108.773327
372.443932,50,108.930322
522.15565,50,109.085321
594.822879,50,109.28232
734.842144,50,109.453319
446.209536,50,109.627317
519.192291,50,109.805321
335.514553,50,109.962223
630.058313,50,110.17022
362.917731,50,110.364228
523.856318,50,110.530226
557.777628,50,110.720222
411.07316,50,110.876227
447.64903,50,111.02822
500.414907,50,111.207218
303.275346,50,111.365222
502.3238,50,111.524224
371.558571,50,111.701223
625.304781,50,111.87322
712.925607,50,112.030227
699.422697,50,112.20922
367.105584,50,112.368223
576.864025,50,112.523224
573.242148,50,112.705218
305.169115,50,112.882221
659.461635,50,113.046224
553.090584,50,113.22422
512.228792,50,113.390219
305.956825,50,113.556221
184.177462,50,113.733219
453.356027,50,113.889219
618.048958,50,114.058221
542.599167,50,114.233223
655.058157,50,114.388224
537.806205,50,114.543221
505.541497,50,114.71722
530.775029,50,114.881227
369.604496,50,115.04222
583.597647,50,115.213218
556.744476,50,115.37822
516.388904,50,115.535221
311.288309,50,115.719218
599.244106,50,115.877226
339.746674,50,116.030218
605.693929,50,116.204247
318.017405,50,116.354221
634.997335,50,116.516218
705.645549,50,116.700221
594.15039,50,116.85622
342.285758,50,117.007217
496.396303,50,117.174227
420.492728,50,117.33323
320.620957,50,117.481225
397.771712,50,117.664219
368.96029,50,117.833748
772.838522,50,117.993754
404.366842,50,118.156614
417.30615,50,118.325614
368.534105,50,118.472614
771.688288,50,118.643612
