#{"t_start": 1753905059.3717554, "env_id": "None"}
r,l,t
221.665875,50,76.861115
214.808481,50,76.992948
193.739397,50,77.112029
216.8,50,77.248903
442.982287,50,77.36704
191.9,50,77.489293
347.097231,50,77.613178
438.478248,50,77.732112
481.462437,50,77.849079
249.3,50,77.962237
349.962604,50,78.071253
392.458122,50,78.195386
255.781385,50,78.326233
549.764154,50,78.436835
367.673102,50,78.557703
364.106857,50,78.689312
427.829626,50,78.807314
486.035621,50,78.936314
507.569913,50,79.054313
414.761318,50,79.189282
325.115506,50,79.29428
262.77642,50,79.40928
858.766012,50,79.542319
123.4,50,79.671286
345.004328,50,79.782279
260.9,50,79.908628
320.315273,50,80.013632
408.414747,50,80.151629
208.94551,50,80.269739
255.589014,50,80.392924
310.265558,50,80.523968
216.9,50,80.642966
325.87454,50,80.753967
408.361829,50,80.865964
365.397643,50,80.997121
269.4,50,81.124122
289.371476,50,81.489336
370.259956,50,81.604496
408.373483,50,81.803649
213.3,50,81.961046
334.747994,50,82.062879
344.386973,50,82.179677
274.303577,50,82.29365
174.5,50,82.426429
208.0,50,82.557431
222.4,50,82.666435
305.788226,50,82.765436
478.791113,50,82.899521
218.8,50,83.017572
147.1,50,83.179725
407.180395,50,83.323036
238.397136,50,83.451397
260.9,50,83.577431
360.745975,50,83.683436
194.8,50,83.810935
195.073096,50,83.940491
438.831506,50,84.051542
251.036778,50,84.182595
317.551136,50,84.296803
278.678379,50,84.446893
258.2,50,84.561804
409.997781,50,84.679808
493.923985,50,84.819879
261.0,50,84.962034
234.676375,50,85.080171
485.475384,50,85.202309
285.226005,50,85.304367
549.656434,50,85.438914
317.748,50,85.560937
317.109495,50,85.688187
444.610368,50,85.799184
260.8,50,85.941314
419.199487,50,86.056896
304.120202,50,86.168452
346.252916,50,86.502512
325.443634,50,86.775254
739.910733,50,87.232879
369.956711,50,87.367075
351.731296,50,87.516205
293.000211,50,87.668151
95.272749,50,87.789316
338.910494,50,87.928736
282.810778,50,88.09041
328.040658,50,88.270509
373.128496,50,88.40257
300.744064,50,88.540657
494.442941,50,88.657841
404.221196,50,88.811154
331.998008,50,88.956187
334.718461,50,89.097192
411.529113,50,89.245648
217.315671,50,89.376699
233.905188,50,89.511694
286.523401,50,89.650731
284.490528,50,89.774776
310.692517,50,89.913107
288.723571,50,90.076689
484.127579,50,90.639638
384.996104,50,90.93568
287.647327,50,91.265682
181.9,50,91.709742
298.574589,50,92.051641
272.429012,50,92.332256
332.271279,50,93.62783
372.909657,50,94.044695
280.56171,50,94.460128
263.9,50,94.67267
452.243902,50,95.230228
461.112309,50,95.382443
338.562689,50,95.538747
291.921131,50,95.689316
598.698104,50,95.841382
223.8,50,96.004986
447.15371,50,96.143985
362.217563,50,96.285027
439.646193,50,96.435189
418.192015,50,96.578187
215.9,50,96.715497
313.497979,50,96.851278
726.360104,50,97.00221
217.5,50,97.147711
366.680044,50,97.42822
430.519339,50,97.748312
190.998527,50,98.093165
351.695877,50,98.423287
216.0,50,98.901816
302.481194,50,99.314086
543.59723,50,99.606114
645.454638,50,99.777153
446.142032,50,99.922834
488.58734,50,100.236859
377.271803,50,100.604593
198.610193,50,100.852862
262.4,50,101.128021
234.7,50,101.36907
